username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nytimes;2016/03/09 18:56;64;94;"Next week's primary in Florida will be Donald Trump’s biggest test yet http://nyti.ms/1py8T57 ";;;;"707716621608087552";https://twitter.com/nytimes/status/707716621608087552
thejamesxian;2016/03/09 18:59;0;5;"Goat: Marco Rubio Trash; Donald Trump and Hillary Clinton #Marcomentum #NeverTrumphttps://twitter.com/lodollaasign/status/707688083051773952 …";;;#Marcomentum #NeverTrumphttps;"707717595911168001";https://twitter.com/thejamesxian/status/707717595911168001
ParksPics;2016/03/09 16:02;3745;685;"who'd you rather have for president rt = Leslie Knope like = Donald Trump pic.twitter.com/YZL6y6LMjF";;;;"707672860374994945";https://twitter.com/ParksPics/status/707672860374994945
Italians4Trump;2016/03/09 18:57;17;6;"White House Dismisses Donald Trump, Bernie Sanders on Trans-Pacific Trade Deal - Breitbart http://www.breitbart.com/big-government/2016/03/09/white-house-challenges-donald-trump-on-trade-deal/ …";;;;"707716894724399104";https://twitter.com/Italians4Trump/status/707716894724399104
RSBNetwork;2016/03/09 18:59;70;104;"LIVE Stream: Donald Trump & the #TrumpTrain roll into Fayetteville, NC. #YUGE crowd. Live Stream link:https://www.youtube.com/watch?v=ZOa3VrR_RqY …";;;#TrumpTrain #YUGE;"707717588177051648";https://twitter.com/RSBNetwork/status/707717588177051648
EgbertoWillies;2016/03/09 18:53;8;4;"Fareed Zakaria blames Donald Trump's rise on GOP for very specific reasons (VIDEO) http://bit.ly/1U2broo  #UniteBlue";;;#UniteBlue;"707716023500152833";https://twitter.com/EgbertoWillies/status/707716023500152833
USAHipster;2016/03/09 18:59;10;11;"President Reagan tells a heckler to shutup. Now VOTE Donald Trump! https://youtu.be/GEXOpm0H7QA  #FLORIDA #OHIOhttps://twitter.com/IngrahamAngle/status/707405582504894465 …";;;#FLORIDA #OHIOhttps;"707717584225853441";https://twitter.com/USAHipster/status/707717584225853441
lorraine4trump;2016/03/09 18:59;3;2;"LIVE Stream: Donald Trump Rally in Fayetteville, NC (3-9-16) https://youtu.be/ZOa3VrR_RqY  via @YouTube";;@YouTube;;"707717583315804160";https://twitter.com/lorraine4trump/status/707717583315804160
hunterschwarz;2016/03/09 18:59;9;28;"Mitt Romney reads mean tweets from Donald Trump and Trump supporters https://amp.twimg.com/v/492fb5dd-9c62-4325-85c4-a442e904fdbb …";;;;"707717398430883840";https://twitter.com/hunterschwarz/status/707717398430883840
mmfa;2016/03/03 20:00;179;172;"MSNBC’s Chris Hayes highlights the “disturbing” violence at Donald Trump rallies: http://mm4a.org/1Qt25Qb pic.twitter.com/pzvobJ6yVD";;;;"705558473170235392";https://twitter.com/mmfa/status/705558473170235392
