username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
as_promised;2016/02/09 18:55;0;0;"WTF? The big beautiful #WALL solves the #tradedeficit ?? MSNBC’s Tamron Hall unmasks Donald Trump:http://www.rawstory.com/2016/02/msnbcs-tamron-hall-unmasks-donald-trump-the-great-wall-of-china-was-built-with-slave-labor/#.Vrp8VdFVWWk.twitter …";;;#WALL #tradedeficit #;"697207333852581888";https://twitter.com/as_promised/status/697207333852581888
ChiefEasyWaters;2016/02/09 18:55;0;0;"I'm just waiting for Kanye to endorse Donald Trump so I can troll all of his stans into oblivion.";;;;"697207325891784705";https://twitter.com/ChiefEasyWaters/status/697207325891784705
virtualstoic;2016/02/09 18:55;0;1;"Sal from the impractical jokers follows Donald Trump on twitter... I am so disappointed";;;;"697207314336632834";https://twitter.com/virtualstoic/status/697207314336632834
catarinamatos;2016/02/09 18:55;0;6;"DONALD TRUMP IS THE SWEETEST PERSON !!!!!! https://twitter.com/kanyewest/status/697199554807099394 …";;;;"697207266458648576";https://twitter.com/catarinamatos/status/697207266458648576
Trumps_Hat;2016/02/09 18:55;2;2;"Kanye West Supports Donald Trump";;;;"697207165568884737";https://twitter.com/Trumps_Hat/status/697207165568884737
EmmaStorey10;2016/02/09 18:55;0;0;"or you could go with the classic Donald trump look yaknow @JoshuaDtownpic.twitter.com/eyzsutqlAK";;@JoshuaDtownpic;;"697207152662810624";https://twitter.com/EmmaStorey10/status/697207152662810624
micnews;2016/02/09 18:55;14;14;"Here's Donald Trump actually saying he would turn away Syrian refugee children: pic.twitter.com/eYtEGMQiHu";;;;"697207149269745664";https://twitter.com/micnews/status/697207149269745664
daenerysexual;2016/02/09 18:55;0;6;"Saying bill cosby is innocent is like saying donald trump isn't racist https://twitter.com/kanyewest/status/697199554807099394 …";;;;"697207147554279425";https://twitter.com/daenerysexual/status/697207147554279425
Timesolizer;2016/02/09 18:55;0;0;"Your Tuesday Evening Briefing: Donald Trump, James Clapper, Hillary Clinton http://thetimestimes.trendolizer.com/2016/02/your-tuesday-evening-briefing-donald-trump-james-clapper-hillary-clinton.html …pic.twitter.com/Ykzw2LwSzZ";;;;"697207114637381633";https://twitter.com/Timesolizer/status/697207114637381633
PoorRobin;2016/02/09 18:54;0;1;"When the last customer of the day REALLLLY wants to talk to you about Donald Trump and how he's gonna win the election. #pleaseno";;;#pleaseno;"697207095234424833";https://twitter.com/PoorRobin/status/697207095234424833
Asher_P_Fly;2016/02/09 18:54;4;3;"If the MEDIA took @HillaryClinton to task based on her misdeeds as vigorously as they are #DonaldTrump she would fall like a ton of bricks";;@HillaryClinton;#DonaldTrump;"697207080227201025";https://twitter.com/Asher_P_Fly/status/697207080227201025
daytondailynews;2016/02/09 18:54;0;0;"‘He’s a ______!’: Donald Trump repeats vulgar slur about Ted Cruz. http://ddnnews.com/1RnwXSS ";;;;"697207032802361344";https://twitter.com/daytondailynews/status/697207032802361344
BlueBallofFur;2016/02/09 18:54;2;0;"I liked a @YouTube video http://youtu.be/e43EIwjVKeQ?a  Donald Trump Bing Bong - Remix Compilation #2";;@YouTube;#2;"697207014456455168";https://twitter.com/BlueBallofFur/status/697207014456455168
bobby_griffith;2016/02/09 18:54;0;5;"Sammy does not like Donald Trump. He came up with this on his own by watching the news. https://www.instagram.com/p/BBla4I_GfVL/ ";;;;"697206951202181121";https://twitter.com/bobby_griffith/status/697206951202181121
blakewcs;2016/02/09 18:54;2;4;"It's so cute how Donald Trump visits the voting spots pic.twitter.com/rl7J2nUlgU";;;;"697206943509848064";https://twitter.com/blakewcs/status/697206943509848064
rcolema75;2016/02/09 18:54;0;0;"IA Christians NH secular all said by Chuck Todd as if excusing the atrocious behavior of the vile man Donald Trump! pic.twitter.com/yKJbvkomAe";;;;"697206939365691392";https://twitter.com/rcolema75/status/697206939365691392
Jeroener;2016/02/09 18:54;1;0;"DONALD TRUMP A NICE MAN !!!!!!!!!! https://twitter.com/kanyewest/status/697199554807099394 …";;;;"697206930834640896";https://twitter.com/Jeroener/status/697206930834640896
DavidPapp;2016/02/09 18:54;0;0;"[VIDEO] Ted Cruz Says Donald Trump Is Just a Sore Loser http://j.mp/20Jh6nz ";;;;"697206914749489152";https://twitter.com/DavidPapp/status/697206914749489152
jkruzel25;2016/02/09 18:54;2;3;"Donald Trump running on his own name. First candidate to mention FAIR TRADE. Japan killed us in the 80's in the Auto Industry. No one cared";Reno, NV;;;"697206899909898244";https://twitter.com/jkruzel25/status/697206899909898244
SamKlomhaus;2016/02/09 18:54;0;0;"I decided I was a way better high school soccer player than Donald Trump. http://the18.com/news/i-have-something-common-donald-trump-and-i-dont …";;;;"697206896709664769";https://twitter.com/SamKlomhaus/status/697206896709664769
NickPrear;2016/02/09 18:54;0;2;"Mom Surprises Daughter Now add harmony. MonoNeon: WE ARE GOING TO SEE DONALD TRUMP IN PERSON https://youtu.be/yI-bO2J_mF0  via @YouTube";;@YouTube;;"697206895942221825";https://twitter.com/NickPrear/status/697206895942221825
RobZicariShow;2016/02/09 18:54;1;0;"Listen to MEDIA'S DOUBLE STANDARD WITH TRUMP by The Rob Zicari Show "Xtreme Politics" http://tobtr.com/8291281  #DonaldTrump #MSM #tcot";;;#DonaldTrump #MSM #tcot;"697206892943187968";https://twitter.com/RobZicariShow/status/697206892943187968
sokuho_in;2016/02/09 18:54;0;0;"■CNN速報(国際版)：Big lines of supporters trying to get into Donald Trump and Bernie Sanders' campaign HQ's hoping to see a win.";;;;"697206860038836224";https://twitter.com/sokuho_in/status/697206860038836224
